iter	RMSE
0	0.3015545006
1	0.3007120365
2	0.299827907
3	0.2988928398
4	0.297977253
5	0.2970565093
6	0.2962072228
7	0.2952558131
8	0.2945805155
9	0.293937412
10	0.2931423052
11	0.2925449278
12	0.2917538831
13	0.2910233877
14	0.2904280848
15	0.2897960735
16	0.2892893484
17	0.2888245572
18	0.288373969
19	0.2877218923
20	0.2872453414
21	0.2867351572
22	0.2862116351
23	0.2857769021
24	0.2853297325
25	0.284970024
26	0.2846913382
27	0.2842314439
28	0.2839054604
29	0.283352174
30	0.2829519039
31	0.2827169884
32	0.2823605817
33	0.2819480916
34	0.2818010706
35	0.2810691392
36	0.2809140069
37	0.2806688576
38	0.2804273857
39	0.2801720184
40	0.2799348403
41	0.279639527
42	0.2794606934
43	0.2792043931
44	0.2789099494
45	0.2786470187
46	0.2784493589
47	0.2783268268
48	0.2781200064
49	0.2777473909
50	0.2775755004
51	0.2774151333
52	0.2771448032
53	0.2769382381
54	0.2768608684
55	0.2765293322
56	0.2764440904
57	0.2762778551
58	0.2761419559
59	0.2758208632
60	0.2756661627
61	0.2754654039
62	0.2753208507
63	0.275206258
64	0.2750162115
65	0.2747829348
66	0.2745680567
67	0.2743707613
68	0.2741819704
69	0.2739926515
70	0.2737972499
71	0.2736772314
72	0.273403201
73	0.2732866906
74	0.2729850293
75	0.2727886262
76	0.272655851
77	0.2723308647
78	0.2721742985
79	0.2718850846
80	0.2716703253
81	0.2714995924
82	0.2714692509
83	0.2712629444
84	0.271038685
85	0.2708810297
86	0.2707161691
87	0.2705170478
88	0.2704516119
89	0.2703817115
90	0.2702396459
91	0.2699136712
92	0.2698329894
93	0.2695277406
94	0.2694185643
95	0.2692818478
96	0.2691295443
97	0.2687673234
98	0.2685124208
99	0.2682628656
100	0.2679800639
101	0.2677609044
102	0.267491739
103	0.2672449084
104	0.2670220166
105	0.2667659573
106	0.266686358
107	0.266569045
108	0.2663310858
109	0.2662748225
110	0.2661085241
111	0.2659816627
112	0.2658387658
113	0.2654429426
114	0.2650734488
115	0.2648869451
116	0.2646951184
117	0.264552039
118	0.2644753739
119	0.2642164239
120	0.2641136193
121	0.2640099288
122	0.2638061242
123	0.2635384563
124	0.2634964033
125	0.2632139184
126	0.2629175633
127	0.2627450431
128	0.2625473223
129	0.2622801779
130	0.2621607211
131	0.2618147795
132	0.2615011436
133	0.2613145396
134	0.2609303581
135	0.2608534319
136	0.2607674548
137	0.2605111609
138	0.2604383366
139	0.2603200699
140	0.2602457869
141	0.2601202571
142	0.2600262309
143	0.2598414107
144	0.259718091
145	0.2595970009
146	0.2595703695
147	0.259453271
148	0.2593463811
149	0.2589656328
150	0.2587165848
151	0.2586479396
152	0.2584610171
153	0.2582160996
154	0.2579734494
155	0.2578661177
156	0.2577903218
157	0.2576944782
158	0.2573901226
159	0.2571957145
160	0.2569739971
161	0.2566287612
162	0.2565793556
163	0.2561535766
164	0.2559533829
165	0.2556170473
166	0.2554290598
167	0.2552461576
168	0.2551933336
169	0.2551283944
170	0.2548646841
171	0.2548296368
172	0.2546327818
173	0.2545694339
174	0.2544681268
175	0.2542788808
176	0.2541783292
177	0.2541094378
178	0.2539629695
179	0.2539225458
180	0.2538257189
181	0.2536573095
182	0.2534928239
183	0.2532308695
184	0.253034973
185	0.2526100779
186	0.2523798807
187	0.2523279667
188	0.2522380153
189	0.2520933392
190	0.2519406243
191	0.2519261754
192	0.2518233323
193	0.2516871286
194	0.2514296935
195	0.2513844657
196	0.251139625
197	0.2510430998
198	0.2508980846
199	0.2507696727
200	0.2505543629
201	0.2505199458
202	0.2503740257
203	0.2503157943
204	0.2500707874
205	0.2498162878
206	0.2494534038
207	0.2492981564
208	0.2489685804
209	0.2488878756
210	0.2486587527
211	0.2484347723
212	0.2484001106
213	0.2481623485
214	0.2480397173
215	0.2477902277
216	0.2477688753
217	0.247729638
218	0.2474234188
219	0.2472213074
220	0.2470291542
221	0.2470079719
222	0.2468299815
223	0.2466726077
224	0.2464268886
225	0.2464085724
226	0.2461973073
227	0.246111151
228	0.2459221178
229	0.2456894444
230	0.2454616644
231	0.245443935
232	0.2453326491
233	0.2451939171
234	0.2449636024
235	0.2446642019
236	0.2446508731
237	0.2444858384
238	0.2444284447
239	0.2442946344
240	0.2442459126
241	0.2441745447
242	0.2439705986
243	0.2437913918
244	0.2436719629
245	0.2436540409
246	0.2434728254
247	0.24336353
248	0.2432306642
249	0.2429898711
250	0.2429325169
251	0.2427570001
252	0.2426972224
253	0.2425912569
254	0.2422104277
255	0.2420837739
256	0.2418810864
257	0.2416745298
258	0.2416579908
259	0.2414956965
260	0.2413872472
261	0.2412737311
262	0.2411545691
263	0.240889472
264	0.2406894177
265	0.2404972919
266	0.2403526735
267	0.2403423662
268	0.2402917405
269	0.2401544813
270	0.239954071
271	0.2399088549
272	0.2398042758
273	0.2395788049
274	0.2394258589
275	0.2392691942
276	0.239026705
277	0.2388471206
278	0.238643421
279	0.2383381906
280	0.238258995
281	0.2380287574
282	0.2376873539
283	0.237550866
284	0.2373313305
285	0.2371974415
286	0.2370196786
287	0.2370030441
288	0.2369880422
289	0.2368789575
290	0.2367656705
291	0.2366560645
292	0.2363345043
293	0.2360442144
294	0.2360323207
295	0.2359615604
296	0.2359558964
297	0.2357226704
298	0.2355134316
299	0.2354420737
300	0.2353158634
301	0.2352041922
302	0.2351950363
303	0.2349511647
304	0.2349202283
305	0.2347059854
306	0.2345703791
307	0.2344678831
308	0.2341749049
309	0.2339669805
310	0.2337789596
311	0.2334763825
312	0.2334356635
313	0.2333906628
314	0.2332232155
315	0.2329883247
316	0.2328611128
317	0.2328474366
318	0.2327244103
319	0.232621377
320	0.2324920077
321	0.2322164932
322	0.2321345621
323	0.2320999603
324	0.2320764383
325	0.2318869723
326	0.2317154483
327	0.231619333
328	0.2312426833
329	0.2311579452
330	0.2310447127
331	0.2310320804
332	0.2308774661
333	0.2305956344
334	0.2304130961
335	0.2301968331
336	0.2300490436
337	0.2297884329
338	0.2295293185
339	0.2292571355
340	0.2291724334
341	0.2291074913
342	0.2288986401
343	0.2285283405
344	0.2283833843
345	0.2282113582
346	0.2281591805
347	0.2281192927
348	0.2280268729
349	0.22776847
350	0.2276902653
351	0.2276799123
352	0.2275068895
353	0.2274959671
354	0.2274379444
355	0.2272411414
356	0.2272040924
357	0.2270259114
358	0.2268488199
359	0.2267445515
360	0.2265744263
361	0.2263658393
362	0.2259996249
363	0.2256753296
364	0.2255961036
365	0.2255119266
366	0.225378676
367	0.2251747172
368	0.2250339484
369	0.2248713521
370	0.2247526535
371	0.2246456303
372	0.224640919
373	0.2245359553
374	0.2244806961
375	0.2244469304
376	0.2243570012
377	0.2241553755
378	0.223967886
379	0.2239525677
380	0.2238393644
381	0.2236931414
382	0.2235414309
383	0.2233301247
384	0.2232456715
385	0.2231179519
386	0.2230750273
387	0.2230655851
388	0.2230617204
389	0.2230030741
390	0.2229433697
391	0.2228471547
392	0.2226079145
393	0.2225200042
394	0.2223483253
395	0.2221805814
396	0.2221023521
397	0.2220193421
398	0.2217654053
399	0.2216032921
400	0.2213174677
401	0.2212017122
402	0.221005252
403	0.2208733304
404	0.2207511624
405	0.220638139
406	0.2205329486
407	0.2204300298
408	0.220347033
409	0.2202752746
410	0.2201780063
411	0.2200784997
412	0.2198800582
413	0.2197352737
414	0.2196176609
415	0.2194764871
