29/04/2023,"gender
student's sex (binary: 'F' - female or 'M' - male)","age
student's age (numeric: from 15 to 22)","adress
student's home address type (binary: 'U' - urban or 'R' - rural)","famsize
family size (binary: 'LE3' - less or equal to 3 or 'GT3' - greater than 3)","Pstatus
parent's cohabitation status (binary: 'T' - living together or 'A' - apart)",M_Education,F_education,"Mjob
mother's job (nominal: 'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or other","Fjob
father's job (nominal: 'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or other",relationship_breakdown,smoker,avarage_tution_fee_cost,time_spent_with_friends,ssc_result,hsc_result
29/04/2023,M,23,U,GT3,T,2,3,other,other,yes,No,400000,4,4.39,4.33
29/04/2023,M,22,U,GT3,T,3,4,at_home,other,yes,yes,400000,2,4.2,4.17
29/04/2023,M,24,R,GT3,T,1,3,at_home,teacher,yes,yes,293000,3,3.92,4.17
29/04/2023,F,22,U,GT3,T,3,4,at_home,other,No,No,293000,8,5,5
29/04/2023,M,23,U,GT3,T,4,4,teacher,other,No,No,295000,8,4.92,4.7
29/04/2023,M,26,U,LE3,T,3,4,at_home,other,yes,yes,456000,6,4.46,4.82
29/04/2023,F,23,U,GT3,T,3,3,at_home,other,No,yes,456000,6,5,4.56
29/04/2023,F,22,U,GT3,T,2,4,at_home,services,No,No,50000,Not too much,5,5
29/04/2023,M,22,U,GT3,T,4,4,teacher,other,No,yes,600000,1,4.92,5
29/04/2023,F,24,R,GT3,T,1,3,at_home,services,No,yes,460000,2,3.97,4.62
29/04/2023,M,22,U,LE3,A,3,3,teacher,services,yes,yes,473211,4,4.19,4.86
29/04/2023,M,25,U,GT3,T,4,4,other,other,No,No,800000,4,4.6,5
29/04/2023,M,22,R,GT3,T,2,2,other,health,No,yes,50000,2,4.21,4.46
29/04/2023,M,24,R,GT3,T,2,4,at_home,other,yes,No,480000,5,4.62,3.98
29/04/2023,M,26,U,GT3,T,3,4,at_home,at_home,yes,yes,550000,0,3.7,4
29/04/2023,F,24,U,GT3,T,3,3,at_home,health,No,No,500000,2,4.4,4.6
29/04/2023 00:00:00,M,22,R,LE3,T ,2,3,at_home ,services ,No,Yes,400000,1,4.89,5
29/04/2023 00:00:00,F,20,R,GT3,T ,4,3,at_home ,services ,Yes ,No ,200000,1,4.57,5
