gender,age,address,famsize,Pstatus,M_edu,F_edu,M_job,F_job,relationship_breakdown,smoker,avarage_tution_fee_cost,time_spent_with_friends,ssc_result,hsc_result
M,23,U,GT3,T,2,3,other,other,yes,No,400000,4,4.39,4.33
M,22,U,GT3,T,3,4,at_home,other,yes,yes,400000,2,4.2,4.17
M,24,R,GT3,T,1,3,at_home,teacher,yes,yes,293000,3,3.92,4.17
F,22,U,GT3,T,3,4,at_home,other,No,No,293000,8,5,5
M,23,U,GT3,T,4,4,teacher,other,No,No,295000,8,4.92,4.7
M,26,U,LE3,T,3,4,at_home,other,yes,yes,456000,6,4.46,4.82
F,23,U,GT3,T,3,3,at_home,other,No,yes,456000,6,5,4.56
F,22,U,GT3,T,2,4,at_home,services,No,No,50000,0,5,5
M,22,U,GT3,T,4,4,teacher,other,No,yes,600000,1,4.92,5
F,24,R,GT3,T,1,3,at_home,services,No,yes,460000,2,3.97,4.62
M,22,U,LE3,A,3,3,teacher,services,yes,yes,470000,4,4.19,4.86
M,25,U,GT3,T,4,4,other,other,No,No,800000,4,4.6,5
M,22,R,GT3,T,2,2,other,health,No,yes,50000,2,4.21,4.46
M,24,R,GT3,T,2,4,at_home,other,yes,No,480000,5,4.62,3.98
M,26,U,GT3,T,3,4,at_home,at_home,yes,yes,550000,0,3.7,4
F,24,U,GT3,T,3,3,at_home,health,No,No,500000,2,4.4,4.6
M,22,R,LE3,T ,2,3,at_home ,services ,No,Yes,400000,1,4.89,5
F,20,R,GT3,T ,4,3,at_home ,services ,Yes ,No ,200000,1,4.57,5
F,23,U,GT3,T ,2,2,at_home ,health ,No ,No ,550000,1,4.56,4.55
M,24,R,LE3,T ,4,4,at_home ,teacher ,Yes ,Yes ,500000,2,4.17,4.31
F,22,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,800000,2,4.25,4.06
F,20,R,LE3,T ,3,3,at_home ,services ,No ,No ,300000,1,4.22,4.67
F,20,U,GT3,T ,2,2,teacher ,other ,No ,No ,100000,1,4.59,4.82
M,24,U,LE3,T ,3,4,at_home ,health ,Yes ,No ,800000,3,4.9,4.64
F,21,U,LE3,T ,4,3,at_home ,other ,No ,Yes ,100000,1,4.63,4.07
M,23,U,GT3,T ,2,3,other ,health ,No ,No ,300000,1,4.04,4.79
F,24,U,GT3,T ,4,4,other ,services ,No ,Yes ,800000,1,4.35,4.51
F,21,U,GT3,T ,4,4,at_home ,services ,Yes ,No ,850000,5,3.99,4.48
F,22,U,GT3,T ,2,4,teacher ,health ,No ,Yes ,200000,1,4.89,4.43
M,22,R,GT3,T ,4,4,other ,health ,Yes ,No ,250000,2,3.95,4.37
M,22,U,GT3,T ,3,2,at_home ,teacher ,No ,Yes ,250000,1,4.31,4.84
F,21,R,LE3,T ,2,3,teacher ,teacher ,Yes ,Yes ,450000,1,4.07,4.56
F,21,U,GT3,T ,2,3,teacher ,other,Yes ,No ,50000,1,4.08,3.95
M,20,R,LE3,T ,2,4,at_home ,services ,Yes ,No ,550000,5,4.51,4.29
M,20,U,LE3,T ,3,2,at_home ,services ,No ,No ,600000,2,4.74,4.03
F,23,R,LE3,T ,3,4,at_home ,teacher ,Yes ,Yes ,200000,1,4.34,4.49
M,20,U,GT3,T ,3,3,other ,other ,Yes ,Yes ,500000,1,4.41,4.55
M,21,U,GT3,T ,2,3,at_home ,other ,No ,Yes ,100000,1,4.21,4.12
F,20,R,LE3,T ,2,3,other ,services ,No ,Yes ,800000,4,4.45,4.72
M,24,R,GT3,T ,4,2,other ,services ,Yes ,Yes ,250000,1,4.51,4.59
M,24,R,GT3,T ,2,4,teacher ,other ,Yes ,No ,200000,1,4.33,4.41
F,24,U,GT3,T ,2,4,at_home ,other ,Yes ,Yes ,500000,1,4.04,4.51
M,22,U,GT3,T ,3,3,at_home ,health ,Yes ,Yes ,100000,1,4.86,4.25
M,22,R,LE3,T ,2,3,health ,other ,Yes ,No ,800000,3,4.39,4.17
M,21,R,GT3,T ,4,2,services ,services ,No ,Yes ,300000,1,4.48,4.87
F,23,R,LE3,T ,4,2,at_home ,services ,Yes ,No ,400000,2,4,3.98
M,20,R,GT3,T ,4,4,teacher ,at_home ,Yes ,Yes ,450000,1,4.44,4.67
M,22,U,GT3,T ,3,4,other ,health ,Yes ,Yes ,700000,2,4.19,4.15
M,20,U,LE3,T ,2,3,services ,teacher ,Yes ,No ,400000,4,4.9,4.88
F,20,U,GT3,T ,2,4,at_home ,health ,No ,Yes ,550000,1,3.94,4.28
F,21,R,GT3,T ,3,4,services ,health ,No ,No ,400000,3,4.57,4.16
M,20,U,LE3,T ,4,4,other ,other ,Yes ,No ,200000,1,4.39,4.53
M,23,R,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,550000,1,3.96,4.61
F,22,U,GT3,T ,3,4,health ,teacher ,No ,No ,500000,1,4.86,4.22
F,21,U,GT3,T ,3,3,services ,services ,Yes ,No ,200000,3,4.06,4.89
F,24,U,LE3,T ,4,2,at_home ,health ,Yes ,Yes ,600000,1,4.54,4.3
M,22,R,GT3,T ,3,4,at_home ,services ,No ,No ,200000,5,4.29,4.03
M,21,R,GT3,T ,3,2,at_home ,health ,No ,No ,600000,2,4.4,4.66
F,23,U,GT3,T ,2,3,at_home ,services ,No ,No ,200000,1,4.18,4.15
F,22,U,LE3,T ,4,3,at_home ,health ,Yes ,No ,50000,2,4.41,4.36
M,20,R,GT3,A ,4,3,services ,teacher ,Yes ,No ,250000,1,4.79,4.16
M,20,U,LE3,T ,3,2,services ,health ,Yes ,Yes ,300000,3,4.92,4.86
F,24,U,GT3,T ,2,2,health ,health ,Yes ,Yes ,100000,1,4.57,4.63
M,20,U,GT3,T ,2,4,teacher ,other ,Yes ,Yes ,300000,1,4.05,4.17
M,24,R,LE3,T ,3,4,at_home ,health ,Yes ,No ,250000,1,4.41,4.16
M,24,U,GT3,T ,4,4,at_home ,other ,No ,Yes ,400000,1,4.98,4.85
M,23,R,LE3,T ,3,3,other ,services ,Yes ,Yes ,850000,5,4.13,4.4
F,20,R,GT3,T ,4,2,at_home ,other ,No ,No ,400000,1,4.56,4.68
F,21,U,GT3,T ,4,2,at_home ,teacher ,Yes ,Yes ,200000,1,4.47,4.88
F,21,R,GT3,T ,2,2,at_home ,health ,No ,No ,50000,1,4.36,4.13
M,24,R,GT3,T ,4,4,at_home ,other ,Yes ,No ,250000,1,4.24,4.88
M,20,U,LE3,T ,3,2,other ,health ,No ,No ,550000,1,4.25,4.76
F,22,R,GT3,T ,3,4,services ,other ,Yes ,Yes ,800000,1,4.09,4.83
M,21,R,LE3,T ,4,3,services ,other ,Yes ,Yes ,850000,1,4.33,4.76
F,22,U,GT3,T ,3,2,at_home ,other ,Yes ,Yes ,600000,2,4.56,4.09
M,24,U,GT3,T ,4,4,at_home ,teacher ,No ,No ,450000,1,4.97,4.64
F,22,R,GT3,T ,3,3,teacher ,other ,No ,No ,50000,1,4.86,3.97
F,23,U,LE3,T ,2,4,at_home ,teacher ,No ,Yes ,800000,2,4.9,4.89
M,21,U,LE3,T ,2,3,teacher ,services ,No ,No ,700000,1,4.62,4.33
F,24,U,GT3,T ,2,4,other ,services ,Yes ,Yes ,500000,1,4.17,4.44
M,21,U,LE3,T ,3,2,at_home ,health ,Yes ,No ,600000,1,4.11,4.25
M,21,U,GT3,T ,3,2,other ,services ,Yes ,Yes ,450000,1,4.78,4
M,24,U,GT3,T ,2,4,services ,teacher ,Yes ,No ,300000,1,4.76,4.12
F,23,U,LE3,T ,4,3,teacher ,services ,Yes ,Yes ,400000,2,4.72,4.68
F,22,U,GT3,T ,3,2,at_home ,other ,Yes ,No ,800000,2,4.58,3.95
F,23,U,LE3,T ,3,2,teacher ,teacher ,Yes ,Yes ,450000,2,4.69,4.87
M,23,R,GT3,T ,3,2,at_home ,teacher ,Yes ,Yes ,400000,1,4.86,4.64
M,21,R,GT3,T ,4,4,at_home ,at_home ,Yes ,Yes ,450000,2,4.4,4.78
M,24,U,LE3,T ,4,3,health ,health ,Yes ,No ,200000,1,4.02,4.2
M,21,U,LE3,T ,4,4,at_home ,other ,No ,Yes ,450000,2,4.48,4.18
F,21,U,GT3,T ,3,3,other ,teacher ,No ,Yes ,50000,1,4.05,4
M,24,U,GT3,T ,4,3,at_home ,teacher ,Yes ,Yes ,400000,5,4.62,4.86
M,20,U,GT3,T ,2,2,other ,teacher ,No ,No ,200000,2,4.69,4.49
F,22,R,GT3,T ,4,4,services ,teacher ,No ,No ,500000,3,4.81,4.34
M,23,R,GT3,T ,2,2,at_home ,other ,Yes ,No ,700000,1,4.59,4.86
M,21,U,GT3,A ,3,3,at_home ,teacher ,Yes ,Yes ,500000,1,4.33,4.83
M,20,U,GT3,T ,4,2,other ,other ,Yes ,Yes ,850000,1,4.96,4.39
M,21,R,LE3,T ,2,2,at_home ,health ,Yes ,No ,550000,1,4.28,4.75
M,22,R,GT3,T ,2,2,at_home ,health ,No ,No ,100000,1,4.76,4.19
F,22,R,GT3,T ,3,2,other ,services ,No ,No ,300000,1,4.38,4.07
F,22,R,GT3,T ,4,2,other ,other ,Yes ,Yes ,250000,1,4.37,4.38
F,20,R,GT3,T ,4,2,at_home ,teacher ,No ,Yes ,450000,1,4.73,4.32
M,22,R,GT3,T ,4,3,at_home ,services ,Yes ,No ,800000,4,4.2,4.16
F,22,R,GT3,T ,2,4,at_home ,services ,No ,No ,500000,5,4.38,4.41
M,20,R,LE3,T ,3,2,teacher ,services ,Yes ,Yes ,850000,4,4.07,4.68
M,24,R,GT3,T ,2,4,at_home ,teacher ,Yes ,No ,300000,5,4.38,4.88
F,20,R,LE3,T ,4,2,teacher ,health ,Yes ,No ,50000,1,4.72,4.82
M,20,U,GT3,T ,4,4,at_home ,teacher ,Yes ,Yes ,550000,1,4.19,4.84
M,23,R,GT3,T ,3,3,at_home ,health ,Yes ,No ,100000,1,4.22,4.23
F,20,R,GT3,T ,2,3,health ,teacher ,No ,Yes ,700000,1,4.05,4.62
M,23,U,GT3,T ,4,4,health ,other ,No ,Yes ,550000,3,4.81,4.43
M,24,U,GT3,T ,4,2,at_home ,services ,Yes ,Yes ,50000,1,3.93,3.99
M,21,U,LE3,T ,4,2,at_home ,services ,Yes ,Yes ,600000,1,3.94,4.16
M,20,U,LE3,T ,2,4,at_home ,other ,Yes ,No ,200000,1,4.2,4.61
M,21,R,GT3,T ,2,3,at_home ,health ,Yes ,No ,700000,5,3.94,4.53
F,24,R,GT3,T ,2,2,at_home ,other ,Yes ,Yes ,250000,1,4.87,4.71
M,20,U,GT3,T ,4,4,teacher ,teacher ,Yes ,Yes ,500000,4,4.38,4.51
M,22,U,GT3,T ,2,4,at_home ,health ,No ,Yes ,400000,1,4.29,4.18
M,22,R,GT3,T ,2,4,other ,health ,Yes ,Yes ,550000,2,4.21,4.8
M,23,R,GT3,T ,4,3,at_home ,health ,Yes ,Yes ,550000,5,4.35,4.37
F,23,R,GT3,T ,4,3,at_home ,teacher ,No ,Yes ,500000,1,4.46,4.65
F,22,R,LE3,T ,4,4,other ,teacher ,Yes ,Yes ,450000,1,4.19,4.55
F,24,U,GT3,T ,4,2,at_home ,services ,No ,No ,850000,1,4.49,4.36
F,20,U,GT3,T ,2,4,teacher ,other ,Yes ,Yes ,250000,2,4.03,4.45
M,21,U,GT3,T ,4,3,at_home ,health ,No ,No ,700000,1,4.33,4.38
M,20,U,GT3,T ,3,3,teacher ,services ,No ,No ,250000,2,4.9,4.37
M,23,R,GT3,T ,2,2,health ,health ,No ,No ,800000,1,4.83,4.8
M,21,R,LE3,T ,3,4,at_home ,other ,Yes ,Yes ,300000,1,4.66,4.55
F,23,U,GT3,T ,3,3,at_home ,teacher ,No ,No ,100000,1,4.88,3.99
F,24,R,LE3,T ,3,3,at_home ,health ,Yes ,No ,50000,2,4.58,4.45
M,24,U,LE3,T ,4,4,other ,other ,Yes ,No ,300000,1,4.72,4.21
M,22,R,GT3,T ,2,3,at_home ,teacher ,Yes ,No ,500000,2,4.15,4.22
M,24,R,LE3,T ,2,4,at_home ,other ,Yes ,No ,300000,1,4.99,4.27
F,23,R,GT3,T ,3,3,at_home ,health ,Yes ,No ,700000,1,4.39,4.64
M,21,R,GT3,T ,4,2,services ,teacher ,No ,Yes ,600000,1,4.57,4.4
M,24,R,GT3,A ,3,4,at_home ,health ,Yes ,Yes ,500000,2,4.17,4
F,20,U,LE3,A ,3,4,at_home ,health ,No ,No ,50000,1,4.21,4.21
M,22,R,GT3,T ,3,3,services ,teacher ,No ,Yes ,850000,5,4.97,4.47
M,23,U,LE3,T ,4,4,health ,health ,No ,No ,300000,1,4.77,4.12
M,23,R,LE3,T ,2,4,teacher ,health ,No ,Yes ,500000,1,4.24,4.85
M,24,R,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,100000,2,4.6,4.3
M,22,R,GT3,T ,4,4,health ,health ,Yes ,Yes ,500000,2,4.46,4.4
F,23,U,GT3,T ,2,2,at_home ,other ,No ,Yes ,250000,1,4.96,4.15
F,21,U,GT3,T ,2,3,at_home ,teacher ,Yes ,No ,250000,3,4.73,4.32
F,21,R,LE3,T ,2,4,health ,teacher ,Yes ,Yes ,400000,1,4.37,4.72
F,24,R,GT3,T ,4,4,teacher ,teacher ,No ,Yes ,300000,1,4.87,4.14
F,23,U,GT3,T ,2,3,teacher ,health ,No ,Yes ,600000,2,4.34,4.55
F,20,R,GT3,T ,2,3,teacher ,teacher ,Yes ,Yes ,500000,2,4.68,4.3
M,22,U,GT3,T ,4,3,teacher ,health ,Yes ,No ,700000,1,4.62,4.52
F,23,U,GT3,A ,3,4,at_home ,other ,Yes ,Yes ,250000,2,4.36,4.71
F,23,U,LE3,T ,3,2,at_home ,teacher ,No ,No ,800000,3,3.93,4.4
F,24,U,GT3,T ,2,2,at_home ,health ,No ,No ,300000,1,4.14,4.78
F,24,R,GT3,T ,3,3,services ,health ,Yes ,No ,100000,2,3.94,4.16
M,20,U,LE3,T ,2,4,health ,other ,Yes ,Yes ,250000,1,4.17,4.3
F,22,R,LE3,T ,2,2,at_home ,other ,Yes ,No ,700000,1,4.23,4.48
F,20,R,GT3,T ,3,4,at_home ,teacher ,Yes ,No ,500000,1,4.72,4.65
F,22,U,LE3,T ,4,3,services ,teacher ,No ,No ,250000,5,4.83,4.24
M,23,R,GT3,T ,2,4,at_home ,teacher ,Yes ,No ,200000,1,3.95,4.05
F,23,U,GT3,T ,4,2,health ,other ,No ,Yes ,450000,1,4.73,4.31
M,24,R,GT3,T ,3,3,other ,other ,No ,No ,600000,1,4.57,4.76
F,22,R,GT3,A ,4,4,health ,teacher ,No ,Yes ,700000,1,4.2,4.45
F,22,U,GT3,T ,4,4,health ,services ,No ,No ,700000,1,4.73,4.87
M,24,U,GT3,T ,3,3,at_home ,health ,Yes ,No ,300000,1,3.93,4.49
F,23,U,GT3,T ,4,2,health ,teacher ,No ,No ,850000,2,4.85,4.22
F,22,U,GT3,T ,2,2,other ,teacher ,No ,No ,200000,1,4.67,4.49
F,21,U,LE3,T ,2,2,at_home ,services ,No ,No ,450000,2,4.69,3.94
M,24,U,LE3,T ,2,4,at_home ,other ,Yes ,Yes ,100000,1,4.03,4.8
M,20,U,LE3,T ,4,2,health ,services ,No ,Yes ,550000,3,4.07,4.88
M,24,U,GT3,T ,3,2,at_home ,health ,Yes ,Yes ,250000,1,4.75,4.69
M,20,U,LE3,T ,3,2,teacher ,other ,No ,No ,200000,1,4.5,4.68
M,24,U,GT3,T ,3,3,at_home ,other ,Yes ,No ,450000,1,4.66,4.49
M,23,U,GT3,T ,4,3,services ,other ,Yes ,Yes ,400000,1,4.63,4.26
F,20,U,LE3,T ,3,2,services ,health ,No ,Yes ,550000,1,4.02,4.36
F,23,U,GT3,T ,2,2,at_home ,health ,Yes ,No ,850000,3,4.05,4.81
M,24,R,LE3,T ,3,2,services ,services ,Yes ,No ,250000,1,4.63,4.81
F,23,U,GT3,T ,3,2,services ,other ,No ,Yes ,200000,1,4.84,4.85
F,23,R,GT3,T ,3,4,teacher ,teacher ,No ,Yes ,50000,1,4.3,4.79
M,21,R,LE3,T ,2,4,at_home ,services ,Yes ,No ,800000,2,4.83,4.8
M,21,R,GT3,T ,4,4,other ,teacher ,No ,Yes ,700000,1,4.09,4.36
F,23,R,GT3,T ,2,4,at_home ,other ,Yes ,Yes ,550000,5,4.94,4.15
F,24,R,LE3,T ,2,2,at_home ,services ,Yes ,Yes ,200000,1,3.97,4.53
F,23,U,GT3,T ,4,4,services ,other ,Yes ,No ,850000,1,4.82,3.97
M,22,U,LE3,T ,3,4,teacher ,teacher ,No ,Yes ,450000,1,4.89,4.84
M,22,U,LE3,T ,2,2,at_home ,services ,Yes ,No ,800000,1,4.27,4.07
F,23,U,GT3,T ,4,4,at_home ,other ,No ,No ,450000,2,4.53,4.87
F,20,U,GT3,T ,2,3,at_home ,teacher ,No ,No ,200000,1,4.31,4.6
F,24,R,GT3,T ,4,3,at_home ,health ,Yes ,No ,200000,3,4.72,3.95
M,20,U,GT3,T ,3,4,at_home ,other ,No ,Yes ,450000,4,3.95,4.68
F,20,U,GT3,A ,2,4,services ,health ,Yes ,No ,300000,1,4.95,4.33
F,24,U,LE3,T ,2,4,health ,teacher ,Yes ,No ,250000,1,4.65,4.29
M,20,R,LE3,T ,4,4,services ,other ,Yes ,No ,200000,3,4.88,4.86
F,23,U,GT3,T ,3,3,at_home ,services ,Yes ,No ,450000,1,4.57,4.73
F,21,U,GT3,T ,2,4,at_home ,services ,No ,Yes ,250000,2,4.51,4.72
F,23,R,GT3,T ,3,3,at_home ,teacher ,Yes ,Yes ,850000,1,4.5,4.66
M,23,U,GT3,T ,3,3,at_home ,health ,No ,No ,100000,1,4.43,4.72
M,21,U,LE3,T ,3,2,at_home ,services ,No ,Yes ,550000,2,4.41,4.84
M,24,U,LE3,T ,2,4,services ,other ,No ,No ,700000,1,4.79,4.24
M,21,U,GT3,T ,4,3,at_home ,teacher ,No ,No ,600000,1,4.92,4.13
F,23,U,GT3,T ,4,2,services ,health ,Yes ,Yes ,800000,1,4.03,4.75
M,20,R,GT3,T ,4,4,services ,health ,Yes ,No ,550000,1,4.25,4.03
F,21,R,LE3,T ,4,3,at_home ,health ,No ,Yes ,200000,4,4.13,4.17
F,23,U,GT3,T ,2,3,other ,health ,Yes ,No ,250000,1,4.38,4.26
F,21,R,LE3,T ,4,2,teacher ,other ,No ,No ,100000,2,4.15,4.35
F,23,R,GT3,T ,3,3,at_home ,health ,Yes ,No ,300000,3,4.2,4.87
M,21,R,LE3,T ,4,3,at_home ,teacher ,No ,No ,50000,1,3.95,4.22
F,23,R,GT3,T ,4,4,other ,services ,No ,No ,800000,2,4.52,4.14
M,24,U,GT3,T ,4,2,teacher ,teacher ,Yes ,Yes ,700000,1,4.52,4.15
M,21,R,LE3,T ,3,4,services ,health ,Yes ,No ,400000,3,4.75,4.15
F,23,U,GT3,T ,4,2,teacher ,health ,No ,Yes ,200000,1,4.94,4.66
M,24,U,LE3,T ,4,2,at_home ,at_home ,Yes ,Yes ,400000,2,4.27,4.12
F,21,U,GT3,T ,4,4,at_home ,other ,Yes ,No ,550000,2,4.75,4.45
M,21,R,GT3,T ,4,4,services ,other ,No ,No ,250000,1,4.46,4.2
F,21,U,GT3,T ,4,2,at_home ,services ,No ,Yes ,600000,1,4.8,4.56
F,23,U,GT3,T ,4,2,services ,other ,No ,No ,550000,1,4.98,4.5
M,23,R,LE3,T ,4,4,at_home ,services ,No ,No ,700000,2,4.64,4.83
F,22,U,GT3,T ,4,2,other ,health ,Yes ,No ,300000,1,4.78,4.78
F,21,R,GT3,T ,4,4,at_home ,health ,Yes ,Yes ,700000,1,4.55,4.65
F,21,R,GT3,T ,2,4,health ,services ,Yes ,No ,100000,1,4.29,4.81
F,21,R,LE3,T ,2,2,other ,other ,No ,Yes ,450000,1,4.79,4.75
M,20,U,LE3,T ,2,3,other ,teacher ,No ,Yes ,50000,3,4.64,4.89
F,21,U,GT3,T ,4,3,at_home ,health ,Yes ,No ,100000,1,4.2,3.96
F,23,R,LE3,T ,3,3,at_home ,services ,Yes ,Yes ,500000,1,4.3,3.96
M,24,U,GT3,T ,2,3,at_home ,other ,Yes ,No ,450000,2,4.74,4.07
M,20,U,GT3,T ,2,2,teacher ,services ,Yes ,No ,800000,1,4.97,4.85
F,24,R,GT3,T ,4,2,health ,health ,Yes ,No ,250000,3,4.36,4.16
M,23,U,GT3,T ,2,2,at_home ,health ,No ,Yes ,850000,1,4.41,4.84
